Metric,Data
Exposure %,1.6780356101901188
Sharpe Ratio,-0.01662285918280917
Sortino Ratio,-0.01934732767652391
M&M Ratio: RAP,
M&M Ratio: rm,
Alpha,
Beta,
CAGR %,-1.1325417437535457e-05
MAR,-2.8427966157623077e-10
Calmar,-5.826403169126311e-08
