Metric,Data
Total Loss %,-337.009364333225
Avg. Loss %,-0.08171905051727085
Avg. Bars Held,1.0
Max. Consecutive,10.0
Largest Loss,-0.008749999993597157
Number of Losing Trades,4124.0
Bars in Largest Loss,1.0
