Metric,Data
Total Profit %,335.61413328783254
Avg. Profit %,0.08225836600191974
Avg. Bars Held,1.0
Max. Consecutive,12.0
Largest Win,1907.7714285714028
Number of Winning Trades,4080.0
Bars in Largest Win,1.0
