Metric,Data
Total Profit %,542.5996343092569
Avg. Profit %,9.043327238487615
Avg. Bars Held,22.0
Max. Consecutive,14.0
Largest Win,64285.74080999987
Number of Winning Trades,60.0
Bars in Largest Win,35.0
