Metric,Data
Exposure %,37.81995255337745
Sharpe Ratio,0.8754994139544829
Sortino Ratio,1.1200011529818
M&M Ratio: RAP,
M&M Ratio: rm,
Alpha,
Beta,
CAGR %,0.062083954601751756
MAR,2.5580533416461374e-05
Calmar,0.004343141465776204
