Metric,Data
Initial Capital,100000.0
Ending Capital,678225.0983959801
Net Profit,578225.0983959801
Net Profit %,5.782250983959801
Number of Trades,85.0
Ratio Longs,0.7058823529411765
Transaction Costs,0.0
