Metric,Data
Exposure %,37.81995255337745
Sharpe Ratio,-0.0994464294445398
Sortino Ratio,-0.11320751654365618
M&M Ratio: RAP,7.60969102768401
M&M Ratio: rm,8.363542136363007
Alpha,0.8297044757137031
Beta,0.637167368255793
CAGR %,0.062066039375509696
MAR,2.5573151782245444e-05
Calmar,0.0043427370094005
