Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend
1990-01-03,11.926197,12.016776,11.880908,11.941294,19590696.0,233938260.0,98.875,0.0
1990-01-04,11.95639,12.122451,11.941294,12.077162,20027056.0,241870000.0,100.0,0.0
1990-01-05,12.062065,12.273416,12.016776,12.046968,15653512.0,188776880.0,99.75,0.0
1990-01-08,11.986583,12.182837,11.986583,12.122451,9574269.0,116063620.0,100.375,0.0
1990-01-09,12.1375475,12.228127,12.001679,12.001679,14589521.0,175098750.0,99.375,0.0
1990-01-10,12.016776,12.077162,11.9111,11.95639,12307528.0,147153600.0,99.0,0.0
1990-01-11,12.016776,12.122451,12.001679,12.062065,12369628.0,149203260.0,99.875,0.0
1990-01-12,11.9111,11.986583,11.790329,11.820522,11159079.0,131906136.0,97.875,0.0
1990-01-15,11.790329,11.880908,11.74504,11.850715,8353784.0,98998310.0,98.125,0.0
1990-01-16,11.775232,12.122451,11.775232,12.092258,17016416.0,205766880.0,100.125,0.0
1990-01-17,12.122451,12.182837,11.880908,11.941294,18477024.0,220639570.0,98.875,0.0
1990-01-18,11.835618,12.031873,11.790329,12.016776,14312966.0,171995700.0,99.5,0.0
1990-01-19,12.046968,12.062065,11.896005,11.9111,13651386.0,162603040.0,98.625,0.0
1990-01-22,11.926197,11.971486,11.654461,11.669558,14247553.0,166262640.0,96.625,0.0
1990-01-23,11.714847,11.865811,11.669558,11.684654,12260331.0,143257730.0,96.75,0.0
1990-01-24,11.563882,11.820522,11.5336895,11.775232,20328452.0,239372260.0,97.5,0.0
1990-01-25,11.820522,11.820522,11.473304,11.578979,14060423.0,162805340.0,95.875,0.0
1990-01-26,11.609172,11.74504,11.4884,11.69975,15205559.0,177901250.0,96.875,0.0
1990-01-29,11.760137,11.805426,11.5336895,11.74504,10668069.0,125296900.0,97.25,0.0
1990-01-30,11.760137,11.790329,11.563882,11.74504,17899074.0,210225330.0,97.25,0.0
1990-01-31,11.835618,11.9111,11.790329,11.9111,17495832.0,208394620.0,98.625,0.0
1990-02-01,11.9111,12.046968,11.805426,11.805426,14290609.0,168706720.0,97.75,0.0
1990-02-02,11.820522,11.926197,11.820522,11.880908,12553446.0,149146340.0,98.375,0.0
1990-02-05,11.937155,12.212275,11.92187,12.181705,10834542.0,131983200.0,99.625,0.0
1990-02-06,12.181705,12.395688,12.166421,12.349834,22073088.0,272902000.0,101.0,0.0
1990-02-07,12.319265,12.686092,12.303982,12.609671,24652508.0,310860000.0,103.125,0.0
1990-02-08,12.670808,12.701377,12.456826,12.563817,16217464.0,203753250.0,102.75,0.0
1990-02-09,12.579102,12.624955,12.472111,12.533248,10348754.0,129703500.0,102.5,0.0
1990-02-12,12.517963,12.517963,12.303982,12.365119,9745199.0,120500550.0,101.125,0.0
1990-02-13,12.456826,12.624955,12.3804035,12.624955,14656237.0,185034320.0,103.25,0.0
1990-02-14,12.640239,12.747231,12.624955,12.686092,12281274.0,155801380.0,103.75,0.0
1990-02-15,12.731946,12.793084,12.686092,12.686092,11662180.0,147947500.0,103.75,0.0
1990-02-16,12.7778,12.7778,12.640239,12.655523,18003594.0,227844900.0,103.5,0.0
1990-02-20,12.5485325,12.609671,12.502679,12.579102,11448728.0,144014720.0,102.875,0.0
1990-02-21,12.502679,12.854221,12.472111,12.823652,16553590.0,212277490.0,104.875,0.0
1990-02-22,12.838937,12.900075,12.624955,12.624955,18780526.0,237103300.0,103.25,0.0
1990-02-23,12.563817,12.701377,12.472111,12.5485325,12781782.0,160392600.0,102.625,0.0
1990-02-26,12.594386,12.731946,12.533248,12.716661,11216466.0,142636000.0,104.0,0.0
1990-02-27,12.731946,12.900075,12.670808,12.686092,14088666.0,178730130.0,103.75,0.0
1990-02-28,12.670808,12.793084,12.609671,12.701377,11779129.0,149611170.0,103.875,0.0
1990-03-01,12.686092,12.762515,12.640239,12.716661,9181718.0,116760800.0,104.0,0.0
1990-03-02,12.716661,12.88479,12.716661,12.823652,11633557.0,149184690.0,104.875,0.0
1990-03-05,12.823652,12.945929,12.793084,12.838937,11263900.0,144616500.0,105.0,0.0
1990-03-06,12.869506,12.930644,12.747231,12.930644,10428901.0,134852400.0,105.75,0.0
1990-03-07,12.961212,12.991781,12.869506,12.900075,12591229.0,162427800.0,105.5,0.0
1990-03-08,12.961212,13.129341,12.961212,13.083488,14204797.0,185848300.0,107.0,0.0
