Metric,Data
Initial Capital,100000.0
Ending Capital,92051.70248704043
Net Profit,-7948.2975129595725
Net Profit %,-0.07948297512959572
Number of Trades,31832.0
Ratio Longs,0.4928059814023624
Transaction Costs,0.0
