Metric,Data
Total Loss %,-1167.8127541005745
Avg. Loss %,-0.07233726177530814
Avg. Bars Held,1.0
Max. Consecutive,16.0
Largest Loss,-0.008749999993597157
Number of Losing Trades,16144.0
Bars in Largest Loss,1.0
