Metric,Data
Total Profit %,1161.827407970024
Avg. Profit %,0.07406307184101639
Avg. Bars Held,1.0
Max. Consecutive,11.0
Largest Win,3826.220000000001
Number of Winning Trades,15687.0
Bars in Largest Win,1.0
