Metric,Data
Exposure %,6.511475678108251
Sharpe Ratio,-0.019840693880850503
Sortino Ratio,-0.025514227523255748
M&M Ratio: RAP,
M&M Ratio: rm,
Alpha,
Beta,
CAGR %,-4.269144514801315e-05
MAR,-5.339901579528338e-10
Calmar,-2.981191689862152e-08
